player,season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,PTS,salary,inflationAdjSalary
Maurice Cheeks,1990,PG,33.0,NYK,31.0,13.0,753.0,92.0,159.0,0.5786163522012578,57.0,65.0,0.8769230769230769,244.0,1000000.0,2281070.0
Derrick Chievous,1990,SF,22.0,TOT,55.0,0.0,591.0,105.0,220.0,0.4772727272727273,80.0,111.0,0.7207207207207207,293.0,525000.0,1197561.0
Derrick Chievous,1990,SF,22.0,HOU,41.0,0.0,492.0,90.0,178.0,0.5056179775280899,61.0,87.0,0.7011494252873564,244.0,525000.0,1197561.0
Derrick Chievous,1990,SF,22.0,CLE,14.0,0.0,99.0,15.0,42.0,0.35714285714285715,19.0,24.0,0.7916666666666666,49.0,525000.0,1197561.0
Steve Colter,1990,PG,27.0,WSB,73.0,1.0,977.0,142.0,297.0,0.4781144781144781,77.0,95.0,0.8105263157894737,361.0,300000.0,684321.0
Lester Conner,1990,PG,30.0,NJN,82.0,61.0,2355.0,237.0,573.0,0.41361256544502617,172.0,214.0,0.8037383177570093,648.0,900000.0,2052963.0
Wayne Cooper,1990,C,33.0,POR,79.0,0.0,1176.0,138.0,304.0,0.45394736842105265,25.0,39.0,0.6410256410256411,301.0,1100000.0,2509177.0
Tyrone Corbin,1990,SF,27.0,MIN,82.0,80.0,3011.0,521.0,1083.0,0.48107109879963067,161.0,209.0,0.7703349282296651,1203.0,830000.0,1893288.0
Dave Corzine,1990,C,33.0,ORL,6.0,3.0,79.0,11.0,29.0,0.3793103448275862,0.0,2.0,0.0,22.0,300000.0,684321.0
Terry Cummings,1990,PF,28.0,SAS,81.0,78.0,2821.0,728.0,1532.0,0.4751958224543081,343.0,440.0,0.7795454545454545,1818.0,1860000.0,4242790.0
Dell Curry,1990,SG,25.0,CHH,67.0,13.0,1860.0,461.0,990.0,0.46565656565656566,96.0,104.0,0.9230769230769231,1070.0,900000.0,2052963.0
Quintin Dailey,1990,SG,29.0,SEA,30.0,2.0,491.0,97.0,240.0,0.4041666666666667,52.0,66.0,0.7878787878787878,247.0,425000.0,969454.0
